id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,K,C,sigma_g,discount.1,model,precision,memory,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action
30529c2d3ef,0.61,42.34,42.34,-1.15818e-08,  target precision reached,50,50,50,0.99,2016-12-31 06:52:50,0.025,0.1,0.9903371,NA,0.01720091,0.99,ricker,1e-12,5344948.72727273,50000,5000,1.2,1.2,1.2,0,0,0
30d29c2d3ef,0.58,66.05,66.05,-9.73575e-08,  target precision reached,50,50,50,0.99,2016-12-31 06:53:14,0.025,0.2,0.9903371,NA,0.01720091,0.99,ricker,1e-12,5344948.72727273,50000,5000,1.2,1.2,1.2,0,0,0
30129c2d3ef,0.71,109.24,50208.4,0.000998926,  Preset timeout reached,50,50,50,0.99,2016-12-31 20:48:36,0.125,0.1,0.9903371,NA,0.01720091,0.99,ricker,1e-12,5344948.72727273,50000,5000,1.2,1.2,1.2,0,0,0
30429c2d3ef,0.57,116.44,50212.9,0.00573663,  Preset timeout reached,50,50,50,0.99,2016-12-31 20:48:39,0.05,0.1,0.9903371,NA,0.01720091,0.99,ricker,1e-12,5344948.72727273,50000,5000,1.2,1.2,1.2,0,0,0
30329c2d3ef,0.52,104.72,50291.9,0.00131012,  Preset timeout reached,50,50,50,0.99,2016-12-31 20:50:00,0.075,0.1,0.9903371,NA,0.01720091,0.99,ricker,1e-12,5344948.72727273,50000,5000,1.2,1.2,1.2,0,0,0
30a29c2d3ef,0.7,127.58,50304.6,0.0141686,  Preset timeout reached,50,50,50,0.99,2016-12-31 20:50:10,0.1,0.2,0.9903371,NA,0.01720091,0.99,ricker,1e-12,5344948.72727273,50000,5000,1.2,1.2,1.2,0,0,0
30b29c2d3ef,0.85,116.57,50401.2,0.00614989,  Preset timeout reached,50,50,50,0.99,2016-12-31 20:51:47,0.075,0.2,0.9903371,NA,0.01720091,0.99,ricker,1e-12,5344948.72727273,50000,5000,1.2,1.2,1.2,0,0,0
2fe29c2d3ef,0.58,128.54,50414.5,0.00390247,  Preset timeout reached,50,50,50,0.99,2016-12-31 20:52:02,0.2,0.1,0.9903371,NA,0.01720091,0.99,ricker,1e-12,5344948.72727273,50000,5000,1.2,1.2,1.2,0,0,0
30929c2d3ef,0.64,111.82,50519,0.0182142,  Preset timeout reached,50,50,50,0.99,2016-12-31 20:53:44,0.125,0.2,0.9903371,NA,0.01720091,0.99,ricker,1e-12,5344948.72727273,50000,5000,1.2,1.2,1.2,0,0,0
30729c2d3ef,0.58,119.88,50690.7,0.0101724,  Preset timeout reached,50,50,50,0.99,2016-12-31 20:56:39,0.175,0.2,0.9903371,NA,0.01720091,0.99,ricker,1e-12,5344948.72727273,50000,5000,1.2,1.2,1.2,0,0,0
3076d2cc3ab,0.88,56.99,57,1.92069e-14,  target precision reached,50,50,50,0.99,2016-12-31 20:58:00,0.025,0.4,0.9903371,NA,0.01720091,0.99,ricker,1e-12,5344948.72727273,50000,5000,1.2,1.2,1.2,0,0,0
