id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,sigma_g,noise,model,K,C,precision,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action,cost,beta
4d896a6fe1df,0.13,5.48,10009.1,7.85987e-06,  Preset timeout reached,30,30,30,0.95,2016-10-27 08:27:14,0.5,0.1,0.5,lognormal,ricker,0.75,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d8b6a6fe1df,0.17,6.07,10026.5,0.000566614,  Preset timeout reached,30,30,30,0.95,2016-10-27 08:27:31,1.5,0.1,0.5,lognormal,ricker,0.75,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d846a6fe1df,0.13,5.64,10034.2,0.000640179,  Preset timeout reached,30,30,30,0.95,2016-10-27 08:27:38,1,0.1,0.3,lognormal,ricker,0.75,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d836a6fe1df,0.17,5.15,10037.1,0.000155041,  Preset timeout reached,30,30,30,0.95,2016-10-27 08:27:41,0.5,0.1,0.3,lognormal,ricker,0.75,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d8a6a6fe1df,0.16,5.88,10040,0.000214625,  Preset timeout reached,30,30,30,0.95,2016-10-27 08:27:45,1,0.1,0.5,lognormal,ricker,0.75,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d7e6a6fe1df,0.2,3.71,10078.2,0.00370337,  Preset timeout reached,30,30,30,0.95,2016-10-27 08:28:24,1,0.1,0.1,lognormal,ricker,0.75,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d7d6a6fe1df,0.15,3.21,10085.3,0.00110213,  Preset timeout reached,30,30,30,0.95,2016-10-27 08:28:30,0.5,0.1,0.1,lognormal,ricker,0.75,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d7f6a6fe1df,0.12,3.84,10102.2,0.00909974,  Preset timeout reached,30,30,30,0.95,2016-10-27 08:28:46,1.5,0.1,0.1,lognormal,ricker,0.75,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d856a6fe1df,0.17,5.57,10137.3,0.00195207,  Preset timeout reached,30,30,30,0.95,2016-10-27 08:29:21,1.5,0.1,0.3,lognormal,ricker,0.75,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d816a6fe1df,0.16,3.88,10218,0.220407,  Preset timeout reached,30,30,30,0.95,2016-10-27 08:30:42,1,0.5,0.1,lognormal,ricker,0.75,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d8e6a6fe1df,0.12,7.09,10225.8,0.297447,  Preset timeout reached,30,30,30,0.95,2016-10-27 08:30:50,1.5,0.5,0.5,lognormal,ricker,0.75,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d826a6fe1df,0.16,4.17,10291.3,0.473088,  Preset timeout reached,30,30,30,0.95,2016-10-27 08:31:55,1.5,0.5,0.1,lognormal,ricker,0.75,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d806a6fe1df,0.16,3.24,10353.4,0.0638755,  Preset timeout reached,30,30,30,0.95,2016-10-27 08:32:57,0.5,0.5,0.1,lognormal,ricker,0.75,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
