id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,K,C,sigma_g,discount.1,model,precision,memory,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action
077d9f18-9d46-4b11-a8b0-d24c05a17c87,15.16,5082.01,20106.8,0.0328851,  Preset timeout reached,150,150,150,0.99,2016-09-24 01:15:49,0.2,0.2,0.9903371,NA,0.01720091,0.99,ricker,1e-07,9799086.25,20000,100,1.2,1.2,1.2,0,0,0 
e24c8b59-c573-4417-a3d4-8b4d5e5b6f1a,15.5,4507.84,20304.9,0.0223451,  Preset timeout reached,150,150,150,0.99,2016-09-24 01:18:56,0.15,0.2,0.9903371,NA,0.01720091,0.99,ricker,1e-07,9799086.25,20000,100,1.2,1.2,1.2,0,0,0 
e9ed6998-51e0-4c91-90a3-08cbd2930aa9,15.56,4755.69,20452.8,0.0274314,  Preset timeout reached,150,150,150,0.99,2016-09-24 01:21:51,0.175,0.2,0.9903371,NA,0.01720091,0.99,ricker,1e-07,9799086.25,20000,100,1.2,1.2,1.2,0,0,0 
2fe5791f-d617-4ee5-b748-cda3c7d60132,13.94,4504.12,20583.9,0.0181574,  Preset timeout reached,150,150,150,0.99,2016-09-24 01:23:41,0.125,0.2,0.9903371,NA,0.01720091,0.99,ricker,1e-07,9799086.25,20000,100,1.2,1.2,1.2,0,0,0 
c075e356-4f64-4848-b966-ad50a96bf78a,15.3,4562.31,20018.9,0.013383,  Preset timeout reached,150,150,150,0.99,2016-09-24 07:48:29,0.1,0.2,0.9903371,NA,0.01720091,0.99,ricker,1e-07,9799086.25,20000,100,1.2,1.2,1.2,0,0,0 
f07939bc-f2e0-4846-b9db-07835633685b,14.79,3720.27,20113.3,0.00527146,  Preset timeout reached,150,150,150,0.99,2016-09-24 07:53:03,0.05,0.2,0.9903371,NA,0.01720091,0.99,ricker,1e-07,9799086.25,20000,100,1.2,1.2,1.2,0,0,0 
7d7a9b66-6724-409d-9d02-4ce2aef1aace,13.06,4149.52,20578.2,0.00925358,  Preset timeout reached,150,150,150,0.99,2016-09-24 08:03:50,0.075,0.2,0.9903371,NA,0.01720091,0.99,ricker,1e-07,9799086.25,20000,100,1.2,1.2,1.2,0,0,0 
671ff8eb-b39b-449f-9662-f0bbe805a88d,14.47,3174.45,20916.4,0.00223916,  Preset timeout reached,150,150,150,0.99,2016-09-24 08:11:58,0.025,0.2,0.9903371,NA,0.01720091,0.99,ricker,1e-07,9799086.25,20000,100,1.2,1.2,1.2,0,0,0 
16aaa8ae-cf31-403d-96c7-761d9a08355a,14.88,4939.78,20531.5,0.105212,  Preset timeout reached,150,150,150,0.99,2016-09-24 14:28:16,0.2,0.4,0.9903371,NA,0.01720091,0.99,ricker,1e-07,9799086.25,20000,100,1.2,1.2,1.2,0,0,0 
60240bd0-65f2-4f39-a999-52a9cec198ec,15.1,5032.4,20250.6,0.0919504,  Preset timeout reached,150,150,150,0.99,2016-09-24 14:39:08,0.175,0.4,0.9903371,NA,0.01720091,0.99,ricker,1e-07,9799086.25,20000,100,1.2,1.2,1.2,0,0,0 
