id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,sigma_g,noise,model,K,C,precision,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action,cost,beta
2aa1d75444c,3.54,291.66,10577,0.0447812,  Preset timeout reached,100,100,100,0.95,2016-10-24 18:34:00,0.5,0.5,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f404b0f02,3.85,611.3,10710.8,0.00136638,  Preset timeout reached,100,100,100,0.95,2016-10-24 19:54:51,1,0.1,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e404b0f02,3.63,561.53,10627.9,0.000890002,  Preset timeout reached,100,100,100,0.95,2016-10-24 20:09:02,0.5,0.1,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa2404b0f02,3.89,701.97,11262.6,0.153236,  Preset timeout reached,100,100,100,0.95,2016-10-24 20:24:06,1,0.5,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa0404b0f02,3.6,790.77,10923,0.00663708,  Preset timeout reached,100,100,100,0.95,2016-10-24 20:48:26,1.5,0.1,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa3404b0f02,4.08,879.72,11733,0.480281,  Preset timeout reached,100,100,100,0.95,2016-10-24 21:13:16,1.5,0.5,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa1404b0f02,3.74,612.15,11182.8,0.0527408,  Preset timeout reached,100,100,100,0.95,2016-10-24 21:45:00,0.5,0.5,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f72e9e89,3.56,920.11,11094.3,0.00123974,  Preset timeout reached,100,100,100,0.95,2016-10-24 23:03:27,1,0.1,0.5,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e72e9e89,3.76,804.73,10947.4,0.000439983,  Preset timeout reached,100,100,100,0.95,2016-10-24 23:15:04,0.5,0.1,0.5,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa272e9e89,4.09,1061.25,11843,0.0976499,  Preset timeout reached,100,100,100,0.95,2016-10-24 23:46:37,1,0.5,0.5,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa072e9e89,3.91,1136.06,11374.1,0.00677945,  Preset timeout reached,100,100,100,0.95,2016-10-25 00:02:02,1.5,0.1,0.5,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa372e9e89,4.15,1274.28,10630.9,0.61653,  Preset timeout reached,100,100,100,0.95,2016-10-25 00:16:07,1.5,0.5,0.5,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa172e9e89,4.13,876.53,11417.7,0.0364015,  Preset timeout reached,100,100,100,0.95,2016-10-25 01:00:29,0.5,0.5,0.5,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f7cafdc4c,5.14,685.05,11063.8,0.00552673,  Preset timeout reached,100,100,100,0.95,2016-10-25 02:19:00,1,0.1,0.1,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e7cafdc4c,4.74,624.8,11185.8,0.00214132,  Preset timeout reached,100,100,100,0.95,2016-10-25 02:32:27,0.5,0.1,0.1,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa27cafdc4c,5.23,739.82,11545.9,0.164746,  Preset timeout reached,100,100,100,0.95,2016-10-25 03:10:13,1,0.5,0.1,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa07cafdc4c,4.71,724.48,11396.5,0.0103287,  Preset timeout reached,100,100,100,0.95,2016-10-25 03:22:59,1.5,0.1,0.1,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa37cafdc4c,4.89,773.3,12491.9,0.277134,  Preset timeout reached,100,100,100,0.95,2016-10-25 03:55:21,1.5,0.5,0.1,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa17cafdc4c,5.06,683.79,11414.7,0.0624717,  Preset timeout reached,100,100,100,0.95,2016-10-25 04:21:47,0.5,0.5,0.1,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f4b52578a,5.2,1534.83,10434.6,0.00684947,  Preset timeout reached,100,100,100,0.95,2016-10-25 05:24:06,1,0.1,0.3,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e4b52578a,5.28,1494.87,11781.8,0.00105916,  Preset timeout reached,100,100,100,0.95,2016-10-25 05:59:52,0.5,0.1,0.3,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa24b52578a,5.28,1699.52,10700.9,0.241484,  Preset timeout reached,100,100,100,0.95,2016-10-25 06:19:30,1,0.5,0.3,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa04b52578a,4.69,1540.34,10417.9,0.0184706,  Preset timeout reached,100,100,100,0.95,2016-10-25 06:27:34,1.5,0.1,0.3,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa34b52578a,4.81,1783.41,11839.9,0.43693,  Preset timeout reached,100,100,100,0.95,2016-10-25 07:23:55,1.5,0.5,0.3,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa14b52578a,5.14,1618.43,12213.2,0.0540076,  Preset timeout reached,100,100,100,0.95,2016-10-25 07:56:06,0.5,0.5,0.3,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f1375043d,5.17,1664.81,12276.4,0.00106295,  Preset timeout reached,100,100,100,0.95,2016-10-25 08:59:17,1,0.1,0.5,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e1375043d,4.61,1743.58,10412.5,0.00440376,  Preset timeout reached,100,100,100,0.95,2016-10-25 09:03:54,0.5,0.1,0.5,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa01375043d,5.3,1706.48,11915.2,0.00120202,  Preset timeout reached,100,100,100,0.95,2016-10-25 09:57:13,1.5,0.1,0.5,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa21375043d,4.7,1825.33,13114,0.100542,  Preset timeout reached,100,100,100,0.95,2016-10-25 10:08:12,1,0.5,0.5,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa31375043d,5.25,1952.11,12054.9,0.198071,  Preset timeout reached,100,100,100,0.95,2016-10-25 10:55:19,1.5,0.5,0.5,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa11375043d,5.06,1805.09,12832.6,0.045029,  Preset timeout reached,100,100,100,0.95,2016-10-25 11:40:20,0.5,0.5,0.5,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f6c51d11c,3.11,273.42,10404.8,0.00568179,  Preset timeout reached,100,100,100,0.95,2016-10-25 11:55:11,1,0.1,0.1,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e6c51d11c,3.58,262.17,10346.8,0.00393147,  Preset timeout reached,100,100,100,0.95,2016-10-25 11:58:56,0.5,0.1,0.1,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa06c51d11c,3.02,279.15,10345.5,0.00720098,  Preset timeout reached,100,100,100,0.95,2016-10-25 12:52:15,1.5,0.1,0.1,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa26c51d11c,3.88,291.84,10946.9,0.102164,  Preset timeout reached,100,100,100,0.95,2016-10-25 13:14:50,1,0.5,0.1,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
