id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,sigma_g,noise,model,K,C,precision,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action,cost,beta
449f349ec077,7.44,945.49,11024.6,0.00157989,  Preset timeout reached,120,120,120,0.95,2017-08-11 06:31:01,0.5,0.1,0.1,lognormal,ricker,0.9,0.2,1e-07,10000,2000,2.5,2.5,2.5,0,0,0,none,0
449f29ae28ed,7.43,963.83,11056.3,0.00314232,  Preset timeout reached,120,120,120,0.95,2017-08-11 09:56:23,0.75,0.1,0.1,lognormal,ricker,0.9,0.2,1e-07,10000,2000,2.5,2.5,2.5,0,0,0,none,0
449f340f847e,7.84,1036.09,11158,0.00527854,  Preset timeout reached,120,120,120,0.95,2017-08-11 13:23:31,1,0.1,0.1,lognormal,ricker,0.9,0.2,1e-07,10000,2000,2.5,2.5,2.5,0,0,0,none,0
449f12a860d8,7.63,1018.47,11412,0.0327042,  Preset timeout reached,120,120,120,0.95,2017-08-11 16:55:31,0.5,0.3,0.1,lognormal,ricker,0.9,0.2,1e-07,10000,2000,2.5,2.5,2.5,0,0,0,none,0
449f6cc1382a,7.69,1038.6,11505.9,0.0632196,  Preset timeout reached,120,120,120,0.95,2017-08-11 20:28:41,0.75,0.3,0.1,lognormal,ricker,0.9,0.2,1e-07,10000,2000,2.5,2.5,2.5,0,0,0,none,0
449f5e7b88e,7.59,1086.64,11660.1,0.105309,  Preset timeout reached,120,120,120,0.95,2017-08-12 00:04:34,1,0.3,0.1,lognormal,ricker,0.9,0.2,1e-07,10000,2000,2.5,2.5,2.5,0,0,0,none,0
449f140f62e3,8.08,1063.02,11645.6,0.0552202,  Preset timeout reached,120,120,120,0.95,2017-08-12 03:41:07,0.5,0.4,0.1,lognormal,ricker,0.9,0.2,1e-07,10000,2000,2.5,2.5,2.5,0,0,0,none,0
449f74f01f50,8.35,1152.18,12140.5,0.0999438,  Preset timeout reached,120,120,120,0.95,2017-08-12 07:27:00,0.75,0.4,0.1,lognormal,ricker,0.9,0.2,1e-07,10000,2000,2.5,2.5,2.5,0,0,0,none,0
449f33a6ddd0,8.05,1163.52,10019,0.170958,  Preset timeout reached,120,120,120,0.95,2017-08-12 10:37:04,1,0.4,0.1,lognormal,ricker,0.9,0.2,1e-07,10000,2000,2.5,2.5,2.5,0,0,0,none,0
449f6bc5009,8.49,1097.35,10196.8,0.077448,  Preset timeout reached,120,120,120,0.95,2017-08-12 13:50:02,0.5,0.5,0.1,lognormal,ricker,0.9,0.2,1e-07,10000,2000,2.5,2.5,2.5,0,0,0,none,0
