id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,K,C,sigma_g,discount.1,model,precision,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action
40647992801,4.11,751.38,54817.7,0.0310592,  Preset timeout reached,100,100,100,0.99,2017-01-10 20:55:31,0.075,0.5,0.9903371,NA,0.01720091,0.99,ricker,1e-07,50000,5000,1.2,1.2,1.2,0,0,0
40589205e,3.9,807.37,54860,0.0282755,  Preset timeout reached,100,100,100,0.99,2017-01-11 11:21:43,0.175,0.3,0.9903371,NA,0.01720091,0.99,ricker,1e-07,50000,5000,1.2,1.2,1.2,0,0,0
40489205e,4.19,647.49,56004,0.0113419,  Preset timeout reached,100,100,100,0.99,2017-01-11 11:37:13,0.05,0.5,0.9903371,NA,0.01720091,0.99,ricker,1e-07,50000,5000,1.2,1.2,1.2,0,0,0
40689205e,4.08,826.68,52769.3,0.0208795,  Preset timeout reached,100,100,100,0.99,2017-01-11 11:42:18,0.15,0.3,0.9903371,NA,0.01720091,0.99,ricker,1e-07,50000,5000,1.2,1.2,1.2,0,0,0
405d2c6c11,4.14,733.28,53158.9,0.0126517,  Preset timeout reached,100,100,100,0.99,2017-01-12 02:14:45,0.075,0.3,0.9903371,NA,0.01720091,0.99,ricker,1e-07,50000,5000,1.2,1.2,1.2,0,0,0
404d2c6c11,4.14,782.07,54005.2,0.0131835,  Preset timeout reached,100,100,100,0.99,2017-01-12 02:44:18,0.1,0.3,0.9903371,NA,0.01720091,0.99,ricker,1e-07,50000,5000,1.2,1.2,1.2,0,0,0
406d2c6c11,4.11,683.8,53742.1,0.00662714,  Preset timeout reached,100,100,100,0.99,2017-01-12 02:44:51,0.025,0.3,0.9903371,NA,0.01720091,0.99,ricker,1e-07,50000,5000,1.2,1.2,1.2,0,0,0
405345676ec,3.77,806.82,51747.8,0.00460803,  Preset timeout reached,100,100,100,0.99,2017-01-12 16:48:07,0.175,0.1,0.9903371,NA,0.01720091,0.99,ricker,1e-07,50000,5000,1.2,1.2,1.2,0,0,0
406345676ec,3.76,814.93,51642.9,0.00364028,  Preset timeout reached,100,100,100,0.99,2017-01-12 17:16:26,0.15,0.1,0.9903371,NA,0.01720091,0.99,ricker,1e-07,50000,5000,1.2,1.2,1.2,0,0,0
4057811409a,3.73,640.74,51292.9,0.000946974,  Preset timeout reached,100,100,100,0.99,2017-01-13 07:09:45,0.025,0.1,0.9903371,NA,0.01720091,0.99,ricker,1e-07,50000,5000,1.2,1.2,1.2,0,0,0
