id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,K,C,sigma_g,discount.1,model,precision,memory,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action
3496e194755,15.11,5670.78,254255,0.0297688,  Preset timeout reached,150,150,150,0.99,2016-12-24 02:50:01,0.175,0.3,0.9903371,NA,0.01720091,0.99,ricker,1e-07,5344948.72727273,250000,10000,1.2,1.2,1.2,0,0,0
3476e194755,15.61,4761.24,254998,0.00149098,  Preset timeout reached,150,150,150,0.99,2016-12-24 02:54:37,0.025,0.2,0.9903371,NA,0.01720091,0.99,ricker,1e-07,5344948.72727273,250000,10000,1.2,1.2,1.2,0,0,0
3486e194755,18.72,5993.81,258698,0.0366104,  Preset timeout reached,150,150,150,0.99,2016-12-24 03:56:08,0.2,0.3,0.9903371,NA,0.01720091,0.99,ricker,1e-07,5344948.72727273,250000,10000,1.2,1.2,1.2,0,0,0
3474c53bc41,13.97,4634.16,260290,0.0269334,  Preset timeout reached,150,150,150,0.99,2016-12-27 04:05:50,0.075,0.5,0.9903371,NA,0.01720091,0.99,ricker,1e-07,5344948.72727273,250000,10000,1.2,1.2,1.2,0,0,0
3494c53bc41,13.41,3292.59,260680,0.0107113,  Preset timeout reached,150,150,150,0.99,2016-12-27 04:07:33,0.025,0.5,0.9903371,NA,0.01720091,0.99,ricker,1e-07,5344948.72727273,250000,10000,1.2,1.2,1.2,0,0,0
3484c53bc41,14.18,4205.33,257082,0.0186521,  Preset timeout reached,150,150,150,0.99,2016-12-27 04:13:05,0.05,0.5,0.9903371,NA,0.01720091,0.99,ricker,1e-07,5344948.72727273,250000,10000,1.2,1.2,1.2,0,0,0
