id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,sigma_g,noise,K,C,model,precision,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action,cost,beta
10034bb26e4b,3.54,281.37,20342.5,0.00397072,  Preset timeout reached,100,100,100,0.95,2016-10-11 00:09:55,0.5,0.1,0.1,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
ffb4bb26e4b,4.24,585.08,20887.6,0.00230227,  Preset timeout reached,100,100,100,0.95,2016-10-11 00:19:52,0.5,0.1,0.1,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
ffc4bb26e4b,4.24,673.69,21036,0.00832381,  Preset timeout reached,100,100,100,0.95,2016-10-11 00:22:19,1,0.1,0.1,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
ffe4bb26e4b,4.08,720.54,22158.2,0.267501,  Preset timeout reached,100,100,100,0.95,2016-10-11 00:40:59,1,0.5,0.1,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
10004bb26e4b,4.56,1641.65,22461.4,0.00829117,  Preset timeout reached,100,100,100,0.95,2016-10-11 00:46:05,1,0.1,0.5,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
fff4bb26e4b,4.57,1522.31,22489.5,0.00109434,  Preset timeout reached,100,100,100,0.95,2016-10-11 00:46:35,0.5,0.1,0.5,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
ffd4bb26e4b,4.3,642.12,23167.8,0.0945564,  Preset timeout reached,100,100,100,0.95,2016-10-11 00:57:56,0.5,0.5,0.1,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
10014bb26e4b,4.66,1765.18,23826.6,0.202789,  Preset timeout reached,100,100,100,0.95,2016-10-11 01:08:50,0.5,0.5,0.5,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
10024bb26e4b,4.27,1765.94,24835.3,0.292752,  Preset timeout reached,100,100,100,0.95,2016-10-11 01:25:24,1,0.5,0.5,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
ffb3157e1b,4.03,308.94,20426.7,0.00535135,  Preset timeout reached,100,100,100,0.95,2016-10-11 06:08:27,1,0.1,0.1,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
ffc3157e1b,4.17,284.87,20460.4,0.0429504,  Preset timeout reached,100,100,100,0.95,2016-10-11 06:11:24,0.5,0.5,0.1,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
10033157e1b,4.65,634.09,21948.5,0.169714,  Preset timeout reached,100,100,100,0.95,2016-10-11 06:23:25,1,0.5,0.1,lognormal,0.66,0.05,allen,1e-07,20000,5000,1,1,1,0,0,0,none,NA
ffe3157e1b,4.27,795.37,20936.7,0.000377672,  Preset timeout reached,100,100,100,0.95,2016-10-11 06:37:44,0.5,0.1,0.5,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
fff3157e1b,4.32,934.7,21059.1,0.00104303,  Preset timeout reached,100,100,100,0.95,2016-10-11 06:45:03,1,0.1,0.5,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
10003157e1b,4.44,860.73,21278.5,0.0344868,  Preset timeout reached,100,100,100,0.95,2016-10-11 06:48:56,0.5,0.5,0.5,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
ffd3157e1b,4.02,322.03,21205.1,0.11846,  Preset timeout reached,100,100,100,0.95,2016-10-11 06:59:17,1,0.5,0.1,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
10023157e1b,4.31,589.99,20830.2,0.00543177,  Preset timeout reached,100,100,100,0.95,2016-10-11 07:20:40,1,0.1,0.1,lognormal,0.66,0.05,allen,1e-07,20000,5000,1,1,1,0,0,0,none,NA
10013157e1b,4.49,1024.8,21975.9,0.0937231,  Preset timeout reached,100,100,100,0.95,2016-10-11 07:22:35,1,0.5,0.5,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
ffb4b5a005a,4.69,1563.1,22490.9,0.00033412,  Preset timeout reached,100,100,100,0.95,2016-10-11 12:30:46,1,0.1,0.5,lognormal,0.66,0.05,allen,1e-07,20000,5000,1,1,1,0,0,0,none,NA
ffc4b5a005a,4.48,1712.11,22294.8,0.057262,  Preset timeout reached,100,100,100,0.95,2016-10-11 12:31:03,1,0.5,0.5,lognormal,0.66,0.05,allen,1e-07,20000,5000,1,1,1,0,0,0,none,NA
ffd4b5a005a,4.33,598.24,20846.2,0.00293524,  Preset timeout reached,100,100,100,0.95,2016-10-11 12:54:22,1,0.1,0.1,lognormal,0.66,0.05,bh,1e-07,20000,5000,1,1,1,0,0,0,none,NA
fff4b5a005a,4.69,1556.1,22465.5,0.000769379,  Preset timeout reached,100,100,100,0.95,2016-10-11 13:06:31,1,0.1,0.5,lognormal,0.66,0.05,bh,1e-07,20000,5000,1,1,1,0,0,0,none,NA
ffe4b5a005a,4.47,651.65,22997.3,0.123055,  Preset timeout reached,100,100,100,0.95,2016-10-11 13:08:56,1,0.5,0.1,lognormal,0.66,0.05,bh,1e-07,20000,5000,1,1,1,0,0,0,none,NA
10014b5a005a,4.47,652.28,22726.1,0.273502,  Preset timeout reached,100,100,100,0.95,2016-10-11 13:48:29,1,0.5,0.1,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,linear,0.01
10024b5a005a,4.5,710.57,22868,0.267858,  Preset timeout reached,100,100,100,0.95,2016-10-11 13:49:16,1,0.5,0.1,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,quadaratic,0.01
10004b5a005a,4.88,1867.51,24851.1,0.259412,  Preset timeout reached,100,100,100,0.95,2016-10-11 13:51:01,1,0.5,0.5,lognormal,0.66,0.05,bh,1e-07,20000,5000,1,1,1,0,0,0,none,NA
