id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,sigma_g,K,C,sigma_g.1,model,precision,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action
1a05fbebb01,4.49,1256.8,20075.5,0.155638,  Preset timeout reached,100,100,100,0.95,2016-10-05 03:58:59,0.25,0.2,0.2,1,NA,0.01720091,ricker,1e-07,20000,1000,1,1,1,0,0,0
1a05fbebb01,4.49,1256.8,20075.5,0.155638,  Preset timeout reached,100,100,100,0.95,2016-10-05 03:58:59,1,0.2,0.2,1,NA,0.01720091,ricker,1e-07,20000,1000,1,1,1,0,0,0
1a05fbebb01,4.49,1256.8,20075.5,0.155638,  Preset timeout reached,100,100,100,0.95,2016-10-05 03:58:59,0.25,0.2,0.2,1,NA,0.01720091,ricker,1e-07,20000,1000,1,1,1,0,0,0
1a05fbebb01,4.49,1256.8,20075.5,0.155638,  Preset timeout reached,100,100,100,0.95,2016-10-05 03:58:59,0.25,0.4,0.2,1,NA,0.01720091,ricker,1e-07,20000,1000,1,1,1,0,0,0
1a05fbebb01,4.49,1256.8,20075.5,0.155638,  Preset timeout reached,100,100,100,0.95,2016-10-05 03:58:59,1,0.4,0.2,1,NA,0.01720091,ricker,1e-07,20000,1000,1,1,1,0,0,0
1a05fbebb01,4.49,1256.8,20075.5,0.155638,  Preset timeout reached,100,100,100,0.95,2016-10-05 03:58:59,0.25,0.4,0.2,1,NA,0.01720091,ricker,1e-07,20000,1000,1,1,1,0,0,0
1a05fbebb01,4.49,1256.8,20075.5,0.155638,  Preset timeout reached,100,100,100,0.95,2016-10-05 03:58:59,0.25,0.6,0.2,1,NA,0.01720091,ricker,1e-07,20000,1000,1,1,1,0,0,0
1a05fbebb01,4.49,1256.8,20075.5,0.155638,  Preset timeout reached,100,100,100,0.95,2016-10-05 03:58:59,1,0.6,0.2,1,NA,0.01720091,ricker,1e-07,20000,1000,1,1,1,0,0,0
1a05fbebb01,4.49,1256.8,20075.5,0.155638,  Preset timeout reached,100,100,100,0.95,2016-10-05 03:58:59,0.25,0.6,0.2,1,NA,0.01720091,ricker,1e-07,20000,1000,1,1,1,0,0,0
1a05fbebb01,4.49,1256.8,20075.5,0.155638,  Preset timeout reached,100,100,100,0.95,2016-10-05 03:58:59,0.25,0.2,0.4,1,NA,0.01720091,ricker,1e-07,20000,1000,1,1,1,0,0,0
