id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,sigma_g,noise,model,K,C,precision,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action,cost,beta
4db732e8560,4.36,1329.47,10331.1,0.00718381,  Preset timeout reached,100,100,100,0.95,2016-10-11 01:56:59,1,0.1,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d8732e8560,4.28,728.58,10802.7,0.282632,  Preset timeout reached,100,100,100,0.95,2016-10-11 02:04:47,1,0.5,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4dc732e8560,4.71,1455.66,10935.3,0.0364314,  Preset timeout reached,100,100,100,0.95,2016-10-11 02:06:52,1.5,0.1,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d4732e8560,4.28,584.52,10930.9,0.0024678,  Preset timeout reached,100,100,100,0.95,2016-10-11 02:06:54,0.5,0.1,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4dd732e8560,4.65,1453.53,11443,0.315625,  Preset timeout reached,100,100,100,0.95,2016-10-11 02:15:27,0.5,0.5,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4df732e8560,4.72,1703.98,11478.7,0.853087,  Preset timeout reached,100,100,100,0.95,2016-10-11 02:15:51,1.5,0.5,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4de732e8560,4.71,1596.48,11511,0.516966,  Preset timeout reached,100,100,100,0.95,2016-10-11 02:16:26,1,0.5,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d5732e8560,4.21,677.55,11544.5,0.00881699,  Preset timeout reached,100,100,100,0.95,2016-10-11 02:17:12,1,0.1,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d9732e8560,4.42,877.24,11595.8,0.559937,  Preset timeout reached,100,100,100,0.95,2016-10-11 02:18:02,1.5,0.5,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d7732e8560,4.3,616.6,11876.4,0.0953515,  Preset timeout reached,100,100,100,0.95,2016-10-11 02:22:40,0.5,0.5,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4da732e8560,4.5,1229.2,12056,0.00111903,  Preset timeout reached,100,100,100,0.95,2016-10-11 02:25:38,0.5,0.1,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4d6732e8560,4.35,791.5,12294.6,0.0243519,  Preset timeout reached,100,100,100,0.95,2016-10-11 02:29:37,1.5,0.1,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4db4fe4ce9d,4.02,313.94,10452.2,0.00572461,  Preset timeout reached,100,100,100,0.95,2016-10-11 04:59:15,1,0.1,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
4dc4fe4ce9d,4.07,368.5,10599.8,0.011332,  Preset timeout reached,100,100,100,0.95,2016-10-11 05:11:34,1.5,0.1,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
